SqFt,address,age,bath,bedrooms,crime,description,features,floorplan,incm_restr,neighborhood,price,site
,"Brooklyn, NY, 11206, (",5 days on Trulia,"1 full, 1 partial Bathrooms",3 Bedrooms,Low,"Large Rooms Available In A Earthy Ultra Modern Luxury Apartment. Find Your Next Adventure! Brooklyn, NYJoin The Facebook Group To See More Option.....Link BelowOffering Housing:Location: Prime Williamsburg - Short Walk L trainHardwood FloorLiving RoomGymLaundryRooftop2 Bathroom3 BedroomBars and Cafe around every cornerIncome & Credit a mustCo-signer acceptedONE YEAR LEASEContact Errol for ShowingsReference MontroseGypsy Housing LLCLicensed Real Estate BrokerageOffice: 184 Noll Street Suite 2Brooklyn NY 11237","Price: $3,650; 3 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Gypsy Housing Llc",,,Williamsburg,"$3,650/mo",trulia
,"Brooklyn, NY, 11226, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Low,MASSIVE!! GUT RENO SUNNY 1 bedroom apartment!!  ** NO BROKER FEE**NO BROKER FEE**About the apartment:Full eat-in kitchenMassive livingroomHard Wood floors throughoutLots of windows- great sunlightfully tiled bathroomPlenty closet spaceKing size bedroomHeat and hot water includedRent StabilizedJust first months rent and security deposit to move in!! This apt is for ASAP move in onlyPet friendly buildingvery well kept building**OUT OF STATE GUARANTORS WELCOMEThe apartment is conveniently located near some,"Price: $1,595; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Lang Realty Llc",,,East Flatbush,"$1,595/mo",trulia
,"Brooklyn, NY, 11224, (",5 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"Fully renovated 2 bedroom apt with balcony. Hardwood floors throughout, updated appliances. Parking included in rentBoard approval. Application fee $750 , owner will reimburse 50% .Proof of income and credit verification required","Price: $2,300; 2 Bedrooms; 1 full Bathroom; Multi-Family; Refrigerator; Dishwasher; Status: For Rent; Floors: Tile; Heating: forced air; Intercom System; Neighborhood:; Zip:",,,Coney Island,"$2,300/mo",trulia
,"Brooklyn, NY, 11216, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Low,"Come check out this clean spacious and comfortable apartment. You room will be big enough for a queen bed There is a closet in every bedroom and living room. There are nice light hardwood floors and calm natural wood moldings. There is a separate kitchen area with stainless steel appliances. The area is HOT. You will be right near famous bars, restaurants, and cafes. You will also be a short distance from the trains. HEAT AND HOT WATER INCLUDED!$475 processing fee at lease signingPictures of another unit in building, Actual pictures coming soon...","Price: $1,850; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Urban Pads",,,Bedford - Stuyvesant,"$1,850/mo",trulia
,"Brooklyn, NY, 11229, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Low,"Large 1 Br apt. Apartment located in the quite, residential neighborhood of Sheepshead bay/Midwood, Brooklyn. Features include:~ Elevator~ Laundry in building ~ Live-in super ~ Hardwood floors ~ Spacious living area ~ Ample closet space- 5 throughout~New kitchen~ Conveniently located near shops and restaurants~ Blocks away from the Q,B trains and multiple bus lines~Broker's fee apt~please contact: 917-600-1121 Sergey
                      Tenant responsible for cooking gas and electric. Owner pay for heat and hot water.","Price: $1,700; Deposit:
                          $1,700; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; 800 sqft",,,Sheepshead Bay,"$1,700/mo",trulia
,"Brooklyn, NY, 11231, (",5 days on Trulia,1 full Bathroom,3 Bedrooms,Lowest,"Spacious, sun-drenched 3 bedroom in the Carroll Gardens. All three bedrooms have closets, overhead storage and a window. Completely renovated. New wood floors, new appliances and brand new bathroom. Close to F/G train, citibike and tons of bars and restaurants.","Price: $2,700; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          25 Realty; 900 sqft",,,Carroll Gardens,"$2,700/mo",trulia
,"Brooklyn, NY, 11215, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"Park Slope_NO FEE_1BR with balconyNet rent advertised This renovated, and sun drenched 1br apartment with balcony located in the heart of Park Slope. The building is immaculately cared for and has a classic Brooklyn feel, with tin ceilings in the lobby and a spacious entryway. There is a laundry room, back yard and bicycle storage available to all tenants as well. The building is located on a very quiet and tree-lined block, close to many new restaurants and boutiques, a short walk from Prospect Park, and just 3 blocks from the F, G, and R trains at 4th Ave-9th Street.^T","Price: $2,000; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Firstservice Realty; 670 sqft; Patio",,,Park Slope,"$2,000/mo",trulia
,"Brooklyn, NY, 11218, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Low,"REDUCED BROKER'S FEE! Large and Clean 1bedroom Apartment in Pre-War building with on-site super and laundry room. (please note that, the pictures shown are of a similar apartment included, so please make an appointment to see the actual apartment in person.) About the neighborhood: Kensington is quickly becoming one of the most appealing neighborhoods for those seeking that distinguished living experience for less than what you would pay in more expensive areas in Manhattan and Brooklyn. The express bus on Ocean Parkway at Church Avenue, can get to Wall Street in under 15 minutes and Mi","Price: $1,675; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Bold New York",,,Kensington & Parkville,"$1,675/mo",trulia
,"Brooklyn, NY, 11201, (",5 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"You won't want to miss out on this beautiful 1 bedroom apartment just around the corner from Brooklyn Heights Promenade.Very high ceilings, nice-sized bedroom with WALK-IN CLOSET and multiple windows.Gorgeous hardwood floors. This centrally located elevator building is just off of Montagtue, with tons of fine dining, trendy shopping, and upscale markets to suit your needs. Close to Court St. R train.Shown by open house. Contact agent for times.","Price: $3,195; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Skyline Group Real Estate; 650 sqft",,,Brooklyn Heights,"$3,195/mo",trulia
,"420 Lexington Ave, Brooklyn, NY, 11221",180+ days on Trulia,1 - 2 full Bathrooms,2 - 3 Bedrooms,High,"NO FEE, GUARANTORS ACCEPTED.Bed-Stuy Redefined. Located on the Corner of Tompkins and Lexington Ave, 410-420 Lexington has positioned a block from Herbert Von King park and a short walk to the G train at Bedford Nostrand Ave. Featuring must have amenities, such as parking, gym, a fully furnished roof deck, a beautiful tenant s lounge, work space, bike storage, and laundry room as well as in unit laundry in some of the units. Each of the 33 Units includes gourmet kitchens, state of the art stainless steel appliances, dishwashers, hardwood floors, climate control, huge windows man","; Features – 410-420 Lexington Avenue; *; ; ; ; Additional Storage; ; Fitness Center; ; Dishwasher; ; Washing Machine; ; Dryer; ; ; ; Other Features:; Covered Parking
      ,    Parking Lot
      ,    Underground Garage
      ,    Air Conditioning
      ,    In Unit
      ,    Shared
      ,    Online Rent Payment
      ,    Bicycle Storage
      ,    Lounge
      ,    Party Room
      ,    Rooftop Deck
      ,    Microwave Oven; ; *Certain features are not guaranteed in every unit. Contact the property for more details.; ; ; ; ; ; Provided by; ;",,,Bedford - Stuyvesant,"$2,650 - $3,100/mo",trulia
